material,rA,rB,rX,nA,nB,nX,rA_rB_ratio,rA_rX_ratio,rB_rX_ratio,rS_A,rP_A,Z_A,HOMO_A,LUMO_A,EA_A,IP_A,rS_B,rP_B,Z_B,HOMO_B,LUMO_B,EA_B,IP_B,rS_X,rP_X,Z_X,HOMO_X,LUMO_X,EA_X,IP_X,rX_rB_ratio,t_sisso,t,tau,p_t_sisso,exp_label
AgBiO3,1.28,0.76,1.4,1,5,-2,1.68421,0.914286,0.542857,1.3241,1.9044,47,-4.40216039,-0.246293078,-1.475586841,7.755963446,0.9899,1.3017,83,-4.568780683,-4.56878084,-1.6542288,7.913869695,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,1.842105748,4.072915164,0.877338401,4.07291468,0.631703612,0
AgBrO3,1.28,0.31,1.4,1,5,-2,4.12903,0.914286,0.221429,1.3241,1.9044,47,-4.40216039,-0.246293078,-1.475586841,7.755963446,0.7514,0.8834,35,-7.858438652,0.05511027,-3.678150769,12.55431178,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,4.516120291,6.427901824,1.108216928,6.427910564,0.000117185,0
AgCaCl3,1.28,1,1.81,1,2,-1,1.28,0.707182,0.552486,1.3241,1.9044,47,-4.40216039,-0.246293078,-1.475586841,7.755963446,1.7984,2.3102,20,-3.766160788,-1.945847603,0.149995456,6.309259883,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,1.810000615,5.995124151,0.777567779,5.995123535,0.000618905,0
AgCdBr3,1.28,0.95,1.96,1,2,-1,1.34737,0.653061,0.484694,1.3241,1.9044,47,-4.40216039,-0.246293078,-1.475586841,7.755963446,1.2355,1.7966,48,-5.657022666,-1.1571185,0.948262351,9.271929602,0.7514,0.8834,35,-7.858438652,0.05511027,-3.678150769,12.55431178,2.063157374,5.582189621,0.787296131,5.582190142,0.00310088,0
AgClO3,1.28,0.12,1.4,1,5,-2,10.6667,0.914286,0.0857143,1.3241,1.9044,47,-4.40216039,-0.246293078,-1.475586841,7.755963446,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,11.66666472,15.17284507,1.246744044,15.17284702,7.75E-19,0
AgMgCl3,1.28,0.72,1.81,1,2,-1,1.77778,0.707182,0.39779,1.3241,1.9044,47,-4.40216039,-0.246293078,-1.475586841,7.755963446,1.3518,1.9116,12,-4.705332847,-1.306562749,0.500356867,7.971348956,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,2.513889238,4.603717051,0.863622711,4.603716702,0.151027771,0
AgNO3,1.28,0.13,1.4,1,5,-2,9.84615,0.914286,0.0928571,1.3241,1.9044,47,-4.40216039,-0.246293078,-1.475586841,7.755963446,0.5361,0.5154,7,-7.089771165,-7.089771408,-1.983951498,13.59172054,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,10.76923574,14.07435309,1.23859539,14.07434812,4.49E-17,0
AgPO3,1.28,0.38,1.4,1,5,-2,3.36842,0.914286,0.271429,1.3241,1.9044,47,-4.40216039,-0.246293078,-1.475586841,7.755963446,0.8336,0.9712,15,-5.506575493,-5.506575682,-1.925532558,9.729720798,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,3.684204709,5.457836575,1.064635364,5.457842392,0.0050689,0
AgSbO3,1.28,0.6,1.4,1,5,-2,2.13333,0.914286,0.428571,1.3241,1.9044,47,-4.40216039,-0.246293078,-1.475586841,7.755963446,1.0035,1.24,51,-4.826825142,-4.826825308,-1.761990047,8.318195555,0.4608,0.4333,8,-9.030485351,-0.068724319,-3.078803552,16.43136569,2.333335667,4.148928457,0.947525474,4.148926124,0.557567357,0
AgSnCl3,1.28,1.15,1.81,1,2,-1,1.11304,0.707182,0.635359,1.3241,1.9044,47,-4.40216039,-0.246293078,-1.475586841,7.755963446,1.0659,1.3554,50,-3.693439111,-3.693439238,-1.013080291,6.875249756,0.6785,0.7567,17,-8.59466611,0.01972356,-3.935229812,13.87602063,1.573913331,10.96692785,0.738164006,10.96692757,4.57E-12,0
